,filename,SUM #line_changed
2832,.../jdbc/kernel/PreparedQueryCacheImpl.java,752.0
3307,.../lib/meta/ClassAnnotationMetaDataFilter.java,751.0
8303,.../src/doc/manual/img/embeddedcoll.graffle,751.0
4357,.../openjpa/jdbc/schema/XMLSchemaParser.java,751.0
4095,.../openjpa/datacache/AbstractQueryCache.java,750.0
5699,.../org/apache/openjpa/ee/WASManagedRuntime.java,748.0
5991,.../org/apache/openjpa/kernel/ResultShape.java,746.0
2828,.../jdbc/kernel/JDBCFetchConfigurationImpl.java,744.0
6053,.../org/apache/openjpa/lib/conf/PluginValue.java,744.0
2875,.../jdbc/kernel/exps/SelectConstructor.java,743.0
25,.../HandlerRelationMapTableFieldStrategy.java,743.0
9515,.../test/AbstractPersistenceTestCase.java,739.0
5943,.../org/apache/openjpa/kernel/AttachStrategy.java,738.0
70,.../TestDefaultInheritanceStrategy.java,738.0
2636,.../java/org/apache/openjpa/util/ImplHelper.java,737.0
10654,serp/src/main/java/serp/bytecode/Exceptions.java,732.0
4485,.../openjpa/lib/util/AbstractEventManager.java,732.0
4247,.../openjpa/jdbc/kernel/PreparedQueryImpl.java,729.0
330,.../apache/openjpa/jdbc/kernel/SQLStoreQuery.java,727.0
547,.../apache/openjpa/lib/util/StringDistance.java,726.0
534,.../apache/openjpa/lib/rop/WindowResultList.java,723.0
4705,.../openjpa/persistence/criteria/FromImpl.java,721.0
10674,serp/src/test/java/serp/bytecode/TestProject.java,718.0
6777,.../persistence/PersistenceProviderImpl.java,709.0
2676,.../java/serp/bytecode/TestMathInstruction.java,706.0
8325,.../src/doc/manual/migration_considerations.xml,703.0
58,.../RelationRelationMapTableFieldStrategy.java,703.0
4495,.../openjpa/lib/util/TestPropertiesParser.java,703.0
2166,.../java/org/apache/openjpa/meta/FetchGroup.java,701.0
5603,.../openjpa/util/DelayedLinkedListProxy.java,701.0
4387,.../openjpa/kernel/DetachedValueStateManager.java,698.0
10652,serp/src/main/java/serp/bytecode/Constants.java,696.0
3779,.../main/java/serp/bytecode/ExceptionHandler.java,692.0
10136,openjpaintegration/osgiitests/pom.xml,690.0
4464,.../openjpa/lib/meta/FileMetaDataIterator.java,687.0
10236,openjpakernel/pom.xml,683.0
3201,.../kernel/TestPagingResultObjectProvider.java,681.0
4449,.../openjpa/lib/identifier/IdentifierUtilImpl.java,678.0
325,.../apache/openjpa/jdbc/kernel/NativeJDBCSeq.java,677.0
5568,.../openjpa/slice/jdbc/DistributedStoreQuery.java,673.0
581,.../apache/openjpa/persistence/AbstractQuery.java,671.0
7919,.../persistence/query/QueryDefinitionImpl.java,665.0
7936,.../persistence/query/TestQueryResults.java,664.0
6732,.../org/apache/openjpa/util/ProxyCollections.java,663.0
3785,.../main/java/serp/bytecode/LoadInstruction.java,662.0
10661,serp/src/main/java/serp/bytecode/NameCache.java,662.0
8305,.../src/doc/manual/img/inhertpc.graffle,655.0
1120,.../apache/openjpa/util/DelayedVectorProxy.java,653.0
1115,.../apache/openjpa/util/AbstractLRSProxyMap.java,652.0
10442,openjpalib/pom.xml,650.0
8306,.../src/doc/manual/img/invkeycoll.graffle,649.0
2823,.../jdbc/kernel/ConstraintUpdateManager.java,644.0
5289,.../openjpa/persistence/meta/TestMetamodel.java,642.0
420,.../apache/openjpa/jdbc/sql/RowManagerImpl.java,638.0
7597,.../persistence/jpql/expressions/TestIndex.java,638.0
6567,.../org/apache/openjpa/persistence/meta/Types.java,637.0
4249,.../openjpa/jdbc/kernel/StoredProcedureQuery.java,637.0
4457,.../openjpa/lib/jdbc/DelegatingDataSource.java,637.0
4226,.../openjpa/jdbc/kernel/AbstractUpdateManager.java,636.0
5690,.../org/apache/openjpa/datacache/QueryKey.java,635.0
371,.../apache/openjpa/jdbc/meta/ValueMappingImpl.java,633.0
5171,.../openjpa/persistence/jest/JSONEncoder.java,632.0
3310,.../lib/meta/ZipStreamMetaDataIterator.java,632.0
2022,.../java/org/apache/openjpa/kernel/PCState.java,632.0
7061,.../persistence/detach/TestDetachNoProxy.java,630.0
8030,.../persistence/validation/ValidatorImpl.java,629.0
3787,.../main/java/serp/bytecode/MathInstruction.java,628.0
10071,openjpa/pom.xml,628.0
10521,openjpapersistence/pom.xml,626.0
3793,.../main/java/serp/bytecode/StoreInstruction.java,624.0
4126,.../openjpa/enhance/DynamicStorageGenerator.java,624.0
5286,.../openjpa/persistence/meta/MetamodelImpl.java,623.0
6051,.../org/apache/openjpa/lib/conf/ObjectValue.java,622.0
6074,.../org/apache/openjpa/lib/log/AbstractLog.java,622.0
1518,.../enhance/AbstractUnenhancedClassTest.java,620.0
2168,.../java/org/apache/openjpa/meta/JavaTypes.java,620.0
