,bug_ref,commitID_1,commitID_2,filename,#line_changed-hist,#line_changed-myers,#line_changed-min,#line_changed-pat
75,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/master/TestActiveMasterManager.java,9,9,9,9
76,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/client/TestMultiParallel.java,10,10,10,10
77,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/master/RegionStates.java,10,10,10,10
78,HBASE-9426,c7a72479b6f06a1ab6de66d5d95257f87bb44500,c079ba4660,hbaseprotocol/src/main/protobuf/HBase.proto,10,10,10,10
79,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/master/TestMasterMetricsWrapper.java,10,10,10,10
80,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../regionserver/TestRSKilledWhenInitializing.java,10,10,10,10
81,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/MockRegionServer.java,11,11,11,11
82,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/regionserver/RpcSchedulerFactory.java,11,11,11,11
83,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/regionserver/RegionServerServices.java,11,11,11,11
84,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../coprocessor/TestRegionServerObserver.java,11,11,11,11
85,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/catalog/CatalogTracker.java,11,11,11,11
86,HBASE-15467,65a8d77433cf72ce67e8b5e2efb35f2c2603c349,bdb0cc8808,.../org/apache/hadoop/hbase/master/HMaster.java,11,11,11,11
87,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/TestRegionRebalancing.java,12,12,12,12
88,HBASE-5209,d69299dfdc44a09c7ac2a6a2c4bfffae4a49a327,145d25dfc2,.../org/apache/hadoop/hbase/util/HBaseFsck.java,12,12,12,12
89,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,...tRegionServerCoprocessorExceptionWithAbort.java,12,12,12,12
90,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/TestMasterShutdown.java,12,12,12,12
91,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/snapshot/SnapshotTestingUtils.java,12,12,12,12
92,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/regionserver/wal/TestHLogFiltering.java,13,13,13,13
93,HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/regionserver/LogRoller.java,13,13,13,13
